"","Season","Squad","Player","Nation","Age","Gls","Ast","G_minus_PK","PK","xG_Expected","Min_Playing_Time","PlayerURL"
"1","2020-2021","Manchester City","Ederson","BRA","26",0,1,0,0,0,3240,"https://fbref.com/en/players/3bb7b8b4/Ederson"
"2","2020-2021","Manchester City","Rúben Dias","POR","23",1,0,1,0,1.9,2843,"https://fbref.com/en/players/31c69ef1/Ruben-Dias"
"3","2020-2021","Manchester City","Rodri","ESP","24",2,2,1,1,2.4,2748,"https://fbref.com/en/players/6434f10d/Rodri"
"4","2020-2021","Manchester City","Raheem Sterling","ENG","25",10,7,10,0,11,2536,"https://fbref.com/en/players/b400bde0/Raheem-Sterling"
"5","2020-2021","Manchester City","João Cancelo","POR","26",2,3,2,0,1.6,2299,"https://fbref.com/en/players/bd6351cd/Joao-Cancelo"
"6","2020-2021","Manchester City","Bernardo Silva","POR","25",2,6,2,0,2.8,2065,"https://fbref.com/en/players/3eb22ec9/Bernardo-Silva"
"7","2020-2021","Manchester City","İlkay Gündoğan","GER","29",13,2,12,1,9,2029,"https://fbref.com/en/players/819b3158/Ilkay-Gundogan"
"8","2020-2021","Manchester City","Kevin De Bruyne","BEL","29",6,12,4,2,9.3,1997,"https://fbref.com/en/players/e46012d4/Kevin-De-Bruyne"
"9","2020-2021","Manchester City","Riyad Mahrez","ALG","29",9,6,9,0,4.7,1949,"https://fbref.com/en/players/892d5bb1/Riyad-Mahrez"
"10","2020-2021","Manchester City","Gabriel Jesus","BRA","23",9,4,9,0,8.7,2063,"https://fbref.com/en/players/b66315ae/Gabriel-Jesus"
"11","2020-2021","Manchester City","Kyle Walker","ENG","30",1,1,1,0,0.3,1946,"https://fbref.com/en/players/86dd77d1/Kyle-Walker"
"12","2020-2021","Manchester City","John Stones","ENG","26",4,0,4,0,1.8,1933,"https://fbref.com/en/players/5eecec3d/John-Stones"
"13","2020-2021","Manchester City","Phil Foden","ENG","20",9,5,9,0,5,1616,"https://fbref.com/en/players/ed1e53f3/Phil-Foden"
"14","2020-2021","Manchester City","Oleksandr Zinchenko","UKR","23",0,0,0,0,0.7,1478,"https://fbref.com/en/players/51cf8561/Oleksandr-Zinchenko"
"15","2020-2021","Manchester City","Ferrán Torres","ESP","20",7,2,7,0,4.9,1306,"https://fbref.com/en/players/9e1035f8/Ferran-Torres"
"16","2020-2021","Manchester City","Aymeric Laporte","ESP","26",0,0,0,0,0.8,1344,"https://fbref.com/en/players/119b9a8e/Aymeric-Laporte"
"17","2020-2021","Manchester City","Fernandinho","BRA","35",0,2,0,0,0.7,1188,"https://fbref.com/en/players/101da2b5/Fernandinho"
"18","2020-2021","Manchester City","Benjamin Mendy","FRA","26",2,1,2,0,0.3,953,"https://fbref.com/en/players/5271c8f1/Benjamin-Mendy"
"19","2020-2021","Manchester City","Nathan Aké","NED","25",1,0,1,0,0.3,797,"https://fbref.com/en/players/eaeca114/Nathan-Ake"
"20","2020-2021","Manchester City","Sergio Agüero","ARG","32",4,1,3,1,3.5,559,"https://fbref.com/en/players/4d034881/Sergio-Aguero"
"21","2020-2021","Manchester City","Eric García","ESP","19",0,0,0,0,0.1,383,"https://fbref.com/en/players/2bed3eab/Eric-Garcia"
"22","2020-2021","Manchester City","Scott Carson","ENG","34",0,0,0,0,0,90,"https://fbref.com/en/players/3e1550ee/Scott-Carson"
"23","2020-2021","Manchester City","Zack Steffen","USA","25",0,0,0,0,0,90,"https://fbref.com/en/players/42130443/Zack-Steffen"
"24","2020-2021","Manchester City","Liam Delap","ENG","17",0,0,0,0,0,40,"https://fbref.com/en/players/dd897ee7/Liam-Delap"
"25","2020-2021","Manchester City","Adrian Bernabe","ESP","19",NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/548672b4/Adrian-Bernabe"
"26","2020-2021","Manchester City","Thomas Doyle","ENG","18",NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/5526deb1/Thomas-Doyle"
"27","2020-2021","Manchester City","Claudio Gomes","FRA","20",NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/22f6ed2c/Claudio-Gomes"
"28","2020-2021","Manchester City","Taylor Harwood-Bellis","ENG","18",NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/47327321/Taylor-Harwood-Bellis"
"29","2020-2021","Manchester City","Felix Kalu Nmecha","GER","19",NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/091c86e2/Felix-Kalu-Nmecha"
"30","2020-2021","Manchester City","Luke Mbete-Tatu","ENG","16",NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/387e1d35/Luke-Mbete-Tatu"
"31","2020-2021","Manchester City","Nicolás Otamendi","ARG","32",NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/0d267745/Nicolas-Otamendi"
"32","2020-2021","Manchester City","Cole Palmer","ENG","18",NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/dc7f8a28/Cole-Palmer"
"33","2020-2021","Manchester City","James Trafford","ENG","17",NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/259fea27/James-Trafford"
"34","2020-2021","Manchester United","Bruno Fernandes","POR","25",18,12,9,9,16.1,3099,"https://fbref.com/en/players/507c7bdf/Bruno-Fernandes"
"35","2020-2021","Manchester United","Aaron Wan-Bissaka","ENG","22",2,4,2,0,0.9,3060,"https://fbref.com/en/players/9e525177/Aaron-Wan-Bissaka"
"36","2020-2021","Manchester United","Harry Maguire","ENG","27",2,1,2,0,2.3,3047,"https://fbref.com/en/players/d8931174/Harry-Maguire"
"37","2020-2021","Manchester United","Marcus Rashford","ENG","22",11,9,11,0,8.9,2920,"https://fbref.com/en/players/a1d5bd30/Marcus-Rashford"
"38","2020-2021","Manchester United","Luke Shaw","ENG","25",1,5,1,0,0.6,2654,"https://fbref.com/en/players/9c94165b/Luke-Shaw"
"39","2020-2021","Manchester United","Victor Lindelöf","SWE","26",1,1,1,0,0.6,2585,"https://fbref.com/en/players/f5deef4c/Victor-Lindelof"
"40","2020-2021","Manchester United","Fred","BRA","27",1,0,1,0,1.8,2390,"https://fbref.com/en/players/b853e0ad/Fred"
"41","2020-2021","Manchester United","David de Gea","ESP","29",0,0,0,0,0,2295,"https://fbref.com/en/players/7ba6d84e/David-de-Gea"
"42","2020-2021","Manchester United","Scott McTominay","SCO","23",4,1,4,0,2.1,2129,"https://fbref.com/en/players/d93c2511/Scott-McTominay"
"43","2020-2021","Manchester United","Paul Pogba","FRA","27",3,3,3,0,2.8,1897,"https://fbref.com/en/players/867239d3/Paul-Pogba"
"44","2020-2021","Manchester United","Mason Greenwood","ENG","18",7,2,7,0,6,1822,"https://fbref.com/en/players/58eee997/Mason-Greenwood"
"45","2020-2021","Manchester United","Anthony Martial","FRA","24",4,3,4,0,6.5,1480,"https://fbref.com/en/players/8b788c01/Anthony-Martial"
"46","2020-2021","Manchester United","Edinson Cavani","URU","33",10,3,10,0,8,1375,"https://fbref.com/en/players/527f063d/Edinson-Cavani"
"47","2020-2021","Manchester United","Dean Henderson","ENG","23",0,0,0,0,0,1125,"https://fbref.com/en/players/e5a76dfe/Dean-Henderson"
"48","2020-2021","Manchester United","Nemanja Matić","SRB","31",0,0,0,0,0.3,1106,"https://fbref.com/en/players/eb7822d7/Nemanja-Matic"
"49","2020-2021","Manchester United","Daniel James","WAL","22",3,1,3,0,2.2,910,"https://fbref.com/en/players/c931d9f9/Daniel-James"
"50","2020-2021","Manchester United","Eric Bailly","CIV","26",0,0,0,0,0.1,916,"https://fbref.com/en/players/a1232f4e/Eric-Bailly"
"51","2020-2021","Manchester United","Alex Telles","BRA","27",0,2,0,0,0.2,690,"https://fbref.com/en/players/e73c9bb2/Alex-Telles"
"52","2020-2021","Manchester United","Juan Mata","ESP","32",1,2,0,1,1,509,"https://fbref.com/en/players/29733c72/Juan-Mata"
"53","2020-2021","Manchester United","Donny van de Beek","NED","23",1,1,1,0,0.4,524,"https://fbref.com/en/players/50dc94ce/Donny-van-de-Beek"
"54","2020-2021","Manchester United","Axel Tuanzebe","ENG","22",0,0,0,0,0,404,"https://fbref.com/en/players/2baec6ce/Axel-Tuanzebe"
"55","2020-2021","Manchester United","Brandon Williams","ENG","19",0,0,0,0,0.2,188,"https://fbref.com/en/players/5e74d6c8/Brandon-Williams"
"56","2020-2021","Manchester United","Amad Diallo","CIV","18",0,1,0,0,0,166,"https://fbref.com/en/players/9dc96f10/Amad-Diallo"
"57","2020-2021","Manchester United","Anthony Elanga","SWE","18",1,0,1,0,0.4,155,"https://fbref.com/en/players/2fba6108/Anthony-Elanga"
"58","2020-2021","Manchester United","Timothy Fosu-Mensah","NED","22",0,0,0,0,0,80,"https://fbref.com/en/players/a9142dc3/Timothy-Fosu-Mensah"
"59","2020-2021","Manchester United","Shola Shoretire","ENG","16",0,0,0,0,0,11,"https://fbref.com/en/players/00f0482f/Shola-Shoretire"
"60","2020-2021","Manchester United","Odion Ighalo","NGA","31",0,0,0,0,0,10,"https://fbref.com/en/players/03622183/Odion-Ighalo"
"61","2020-2021","Manchester United","Hannibal Mejbri","TUN","17",0,0,0,0,0,9,"https://fbref.com/en/players/ca22ccb0/Hannibal-Mejbri"
"62","2020-2021","Manchester United","William Thomas Fish","ENG","17",0,0,0,0,0,1,"https://fbref.com/en/players/b2ee9d2c/William-Thomas-Fish"
"63","2020-2021","Manchester United","Nathan Bishop","ENG","20",NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/bf713136/Nathan-Bishop"
"64","2020-2021","Manchester United","Lee Grant","ENG","37",NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/9dab6e3b/Lee-Grant"
"65","2020-2021","Manchester United","Jesse Lingard","ENG","27",NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/810e3c74/Jesse-Lingard"
"66","2020-2021","Liverpool","Andrew Robertson","SCO","26",1,7,1,0,1.5,3383,"https://fbref.com/en/players/2e4f5f03/Andrew-Robertson"
"67","2020-2021","Liverpool","Mohamed Salah","EGY","28",22,5,16,6,19.3,3078,"https://fbref.com/en/players/e342ad68/Mohamed-Salah"
"68","2020-2021","Liverpool","Trent Alexander-Arnold","ENG","21",2,7,2,0,2.6,3031,"https://fbref.com/en/players/cd1acf9d/Trent-Alexander-Arnold"
"69","2020-2021","Liverpool","Georginio Wijnaldum","NED","29",2,0,2,0,2.6,2941,"https://fbref.com/en/players/eb58eef0/Georginio-Wijnaldum"
"70","2020-2021","Liverpool","Alisson","BRA","27",1,0,1,0,0.1,2970,"https://fbref.com/en/players/7a2e46a8/Alisson"
"71","2020-2021","Liverpool","Roberto Firmino","BRA","28",9,7,9,0,11.3,2838,"https://fbref.com/en/players/4c370d81/Roberto-Firmino"
"72","2020-2021","Liverpool","Sadio Mané","SEN","28",11,7,11,0,14.1,2810,"https://fbref.com/en/players/c691bfe2/Sadio-Mane"
"73","2020-2021","Liverpool","Fabinho","BRA","26",0,0,0,0,0.3,2567,"https://fbref.com/en/players/7f3b388c/Fabinho"
"74","2020-2021","Liverpool","Thiago Alcántara","ESP","29",1,0,1,0,1.2,1854,"https://fbref.com/en/players/77e84962/Thiago-Alcantara"
"75","2020-2021","Liverpool","Jordan Henderson","ENG","30",1,1,1,0,1.3,1704,"https://fbref.com/en/players/935e6b8f/Jordan-Henderson"
"76","2020-2021","Liverpool","Nathaniel Phillips","ENG","23",1,1,1,0,1,1456,"https://fbref.com/en/players/515ebe8d/Nathaniel-Phillips"
"77","2020-2021","Liverpool","Curtis Jones","ENG","19",1,2,1,0,1.7,1179,"https://fbref.com/en/players/4fb9c88f/Curtis-Jones"
"78","2020-2021","Liverpool","Diogo Jota","POR","23",9,0,9,0,6.4,1112,"https://fbref.com/en/players/178ae8f8/Diogo-Jota"
"79","2020-2021","Liverpool","James Milner","ENG","34",0,1,0,0,0.4,1070,"https://fbref.com/en/players/2f90f6b8/James-Milner"
"80","2020-2021","Liverpool","Ozan Kabak","TUR","20",0,0,0,0,0.1,801,"https://fbref.com/en/players/2d61d13a/Ozan-Kabak"
"81","2020-2021","Liverpool","Joël Matip","CMR","28",1,2,1,0,0.8,691,"https://fbref.com/en/players/b217ef29/Joel-Matip"
"82","2020-2021","Liverpool","Rhys Williams","ENG","19",0,0,0,0,0.5,661,"https://fbref.com/en/players/012c975a/Rhys-Williams"
"83","2020-2021","Liverpool","Naby Keïta","GUI","25",0,0,0,0,0.4,520,"https://fbref.com/en/players/f25c8e3a/Naby-Keita"
"84","2020-2021","Liverpool","Joe Gomez","ENG","23",0,0,0,0,0,590,"https://fbref.com/en/players/7a11550b/Joe-Gomez"
"85","2020-2021","Liverpool","Xherdan Shaqiri","SUI","28",0,2,0,0,0.5,556,"https://fbref.com/en/players/6421ec64/Xherdan-Shaqiri"
"86","2020-2021","Liverpool","Virgil van Dijk","NED","29",1,0,1,0,0.2,370,"https://fbref.com/en/players/e06683ca/Virgil-van-Dijk"
"87","2020-2021","Liverpool","Adrián","ESP","33",0,0,0,0,0,270,"https://fbref.com/en/players/f76e6b4e/Adrian"
"88","2020-2021","Liverpool","Neco Williams","WAL","19",0,0,0,0,0.1,249,"https://fbref.com/en/players/dd323728/Neco-Williams"
"89","2020-2021","Liverpool","Takumi Minamino","JPN","25",1,0,1,0,1.1,293,"https://fbref.com/en/players/f833a830/Takumi-Minamino"
"90","2020-2021","Liverpool","Alex Oxlade-Chamberlain","ENG","26",1,1,1,0,0.3,253,"https://fbref.com/en/players/38c7feef/Alex-Oxlade-Chamberlain"
"91","2020-2021","Liverpool","Divock Origi","BEL","25",0,0,0,0,1.1,186,"https://fbref.com/en/players/43a166b4/Divock-Origi"
"92","2020-2021","Liverpool","Caoimhín Kelleher","IRL","21",0,0,0,0,0,180,"https://fbref.com/en/players/62d7ef38/Caoimhin-Kelleher"
"93","2020-2021","Liverpool","Kostas Tsimikas","GRE","24",0,0,0,0,0,7,"https://fbref.com/en/players/f315ca93/Kostas-Tsimikas"
"94","2020-2021","Liverpool","Jake Cain","ENG","18",NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/a33ce8e2/Jake-Cain"
"95","2020-2021","Liverpool","Leighton Clarkson","ENG","18",NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/d5dafedb/Leighton-Clarkson"
"96","2020-2021","Liverpool","Ben Davies","ENG","24",NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/c9009a1f/Ben-Davies"
"97","2020-2021","Liverpool","Liam Hughes","NIR","18",NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/54ae11f8/Liam-Hughes"
"98","2020-2021","Liverpool","Billy Koumetio","FRA","17",NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/866c67e9/Billy-Koumetio"
"99","2020-2021","Liverpool","Jakub Ojrzynski","POL","17",NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/94e5390a/Jakub-Ojrzynski"
"100","2020-2021","Liverpool","Ben Woodburn","WAL","20",NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/8aadeaef/Ben-Woodburn"
"101","2020-2021","Chelsea","Mason Mount","ENG","21",6,5,5,1,6.3,2890,"https://fbref.com/en/players/9674002f/Mason-Mount"
"102","2020-2021","Chelsea","Edouard Mendy","SEN","28",0,0,0,0,0,2745,"https://fbref.com/en/players/33887998/Edouard-Mendy"
"103","2020-2021","Chelsea","Timo Werner","GER","24",6,8,6,0,11.4,2602,"https://fbref.com/en/players/49fe9070/Timo-Werner"
"104","2020-2021","Chelsea","Ben Chilwell","ENG","23",3,5,3,0,2.4,2286,"https://fbref.com/en/players/d2424d1b/Ben-Chilwell"
"105","2020-2021","Chelsea","Reece James","ENG","20",1,2,1,0,1.6,2373,"https://fbref.com/en/players/1265a93a/Reece-James"
"106","2020-2021","Chelsea","César Azpilicueta","ESP","30",1,2,1,0,0.7,2188,"https://fbref.com/en/players/53cad200/Cesar-Azpilicueta"
"107","2020-2021","Chelsea","N'Golo Kanté","FRA","29",0,2,0,0,0.6,2146,"https://fbref.com/en/players/b9fbae28/NGolo-Kante"
"108","2020-2021","Chelsea","Jorginho","ITA","28",7,1,0,7,7.3,2010,"https://fbref.com/en/players/45db685d/Jorginho"
"109","2020-2021","Chelsea","Thiago Silva","BRA","35",2,0,2,0,1.7,1935,"https://fbref.com/en/players/86e7deaf/Thiago-Silva"
"110","2020-2021","Chelsea","Kurt Zouma","FRA","25",5,0,5,0,2,2029,"https://fbref.com/en/players/ce4246f5/Kurt-Zouma"
"111","2020-2021","Chelsea","Mateo Kovačić","CRO","26",0,1,0,0,1,1815,"https://fbref.com/en/players/79c0821a/Mateo-Kovacic"
"112","2020-2021","Chelsea","Antonio Rüdiger","GER","27",1,0,1,0,1.3,1710,"https://fbref.com/en/players/18b896d6/Antonio-Rudiger"
"113","2020-2021","Chelsea","Christian Pulisic","USA","21",4,2,4,0,6.1,1738,"https://fbref.com/en/players/1bf33a9a/Christian-Pulisic"
"114","2020-2021","Chelsea","Kai Havertz","GER","21",4,3,4,0,5.5,1520,"https://fbref.com/en/players/fed7cb61/Kai-Havertz"
"115","2020-2021","Chelsea","Andreas Christensen","DEN","24",0,0,0,0,0.1,1371,"https://fbref.com/en/players/1cb49278/Andreas-Christensen"
"116","2020-2021","Chelsea","Hakim Ziyech","MAR","27",2,3,2,0,1.9,1172,"https://fbref.com/en/players/6622454d/Hakim-Ziyech"
"117","2020-2021","Chelsea","Tammy Abraham","ENG","22",6,1,6,0,5.9,1040,"https://fbref.com/en/players/f586779e/Tammy-Abraham"
"118","2020-2021","Chelsea","Marcos Alonso","ESP","29",2,0,2,0,1.8,960,"https://fbref.com/en/players/f4290206/Marcos-Alonso"
"119","2020-2021","Chelsea","Callum Hudson-Odoi","ENG","19",2,3,2,0,1.3,1059,"https://fbref.com/en/players/15f3ec41/Callum-Hudson-Odoi"
"120","2020-2021","Chelsea","Olivier Giroud","FRA","33",4,0,4,0,4.2,748,"https://fbref.com/en/players/16ceb862/Olivier-Giroud"
"121","2020-2021","Chelsea","Kepa Arrizabalaga","ESP","25",0,0,0,0,0,585,"https://fbref.com/en/players/28d596a0/Kepa-Arrizabalaga"
"122","2020-2021","Chelsea","Billy Gilmour","SCO","19",0,0,0,0,0.1,261,"https://fbref.com/en/players/df10e27c/Billy-Gilmour"
"123","2020-2021","Chelsea","Willy Caballero","ARG","38",0,0,0,0,0,90,"https://fbref.com/en/players/a179d516/Willy-Caballero"
"124","2020-2021","Chelsea","Ruben Loftus-Cheek","ENG","24",0,0,0,0,0,60,"https://fbref.com/en/players/e97fd090/Ruben-Loftus-Cheek"
"125","2020-2021","Chelsea","Emerson Palmieri","ITA","25",0,0,0,0,0,90,"https://fbref.com/en/players/e0bc6fdc/Emerson-Palmieri"
"126","2020-2021","Chelsea","Fikayo Tomori","ENG","22",0,0,0,0,0,45,"https://fbref.com/en/players/7edfbb8a/Fikayo-Tomori"
"127","2020-2021","Chelsea","Ross Barkley","ENG","26",0,0,0,0,0,42,"https://fbref.com/en/players/3a24769f/Ross-Barkley"
"128","2020-2021","Chelsea","Faustino Anjorin","ENG","18",NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/b105919e/Faustino-Anjorin"
"129","2020-2021","Chelsea","Valentino Livramento","ENG","17",NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/afed6722/Valentino-Livramento"
"130","2020-2021","Chelsea","Karlo Ziger","CRO","19",NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/53b781b9/Karlo-Ziger"
"131","2020-2021","Leicester City","Kasper Schmeichel","DEN","33",0,0,0,0,0,3420,"https://fbref.com/en/players/53af52f3/Kasper-Schmeichel"
"132","2020-2021","Leicester City","Youri Tielemans","BEL","23",6,4,4,2,4.4,3357,"https://fbref.com/en/players/56f7a928/Youri-Tielemans"
"133","2020-2021","Leicester City","Jamie Vardy","ENG","33",15,9,7,8,19.9,2840,"https://fbref.com/en/players/45963054/Jamie-Vardy"
"134","2020-2021","Leicester City","Jonny Evans","NIR","32",2,2,2,0,1.7,2473,"https://fbref.com/en/players/f8fcd2a5/Jonny-Evans"
"135","2020-2021","Leicester City","Timothy Castagne","BEL","24",2,3,2,0,1.1,2345,"https://fbref.com/en/players/197640fd/Timothy-Castagne"
"136","2020-2021","Leicester City","Wesley Fofana","FRA","19",0,0,0,0,1,2262,"https://fbref.com/en/players/132a82f1/Wesley-Fofana"
"137","2020-2021","Leicester City","Wilfred Ndidi","NGA","23",1,4,1,0,0.7,2176,"https://fbref.com/en/players/6b47c5db/Wilfred-Ndidi"
"138","2020-2021","Leicester City","James Maddison","ENG","23",8,5,8,0,3.8,2099,"https://fbref.com/en/players/ee38d9c5/James-Maddison"
"139","2020-2021","Leicester City","James Justin","ENG","22",2,1,2,0,2.2,2070,"https://fbref.com/en/players/fb614c44/James-Justin"
"140","2020-2021","Leicester City","Harvey Barnes","ENG","22",9,4,9,0,5.9,1945,"https://fbref.com/en/players/3ea50f67/Harvey-Barnes"
"141","2020-2021","Leicester City","Çağlar Söyüncü","TUR","24",1,0,1,0,0.7,1819,"https://fbref.com/en/players/21166ff4/Caglar-Soyuncu"
"142","2020-2021","Leicester City","Marc Albrighton","ENG","30",1,5,1,0,1.2,1746,"https://fbref.com/en/players/b827d5b3/Marc-Albrighton"
"143","2020-2021","Leicester City","Kelechi Iheanacho","NGA","23",12,2,12,0,8.2,1459,"https://fbref.com/en/players/c92e1a31/Kelechi-Iheanacho"
"144","2020-2021","Leicester City","Nampalys Mendy","SEN","28",0,1,0,0,0.1,1459,"https://fbref.com/en/players/1598599e/Nampalys-Mendy"
"145","2020-2021","Leicester City","Ayoze Pérez","ESP","27",2,1,2,0,3.3,1331,"https://fbref.com/en/players/819aa8e7/Ayoze-Perez"
"146","2020-2021","Leicester City","Luke Thomas","ENG","19",1,0,1,0,0.3,969,"https://fbref.com/en/players/fc027d02/Luke-Thomas"
"147","2020-2021","Leicester City","Ricardo Pereira","POR","26",0,1,0,0,0.3,959,"https://fbref.com/en/players/75a72a99/Ricardo-Pereira"
"148","2020-2021","Leicester City","Dennis Praet","BEL","26",1,1,1,0,0.4,718,"https://fbref.com/en/players/86695068/Dennis-Praet"
"149","2020-2021","Leicester City","Daniel Amartey","GHA","25",1,0,1,0,0.4,722,"https://fbref.com/en/players/1a4ef233/Daniel-Amartey"
"150","2020-2021","Leicester City","Christian Fuchs","AUT","34",0,0,0,0,0.1,702,"https://fbref.com/en/players/a67a09fb/Christian-Fuchs"
"151","2020-2021","Leicester City","Hamza Choudhury","ENG","22",0,0,0,0,0.4,316,"https://fbref.com/en/players/7d2d3329/Hamza-Choudhury"
"152","2020-2021","Leicester City","Cengiz Ünder","TUR","23",0,2,0,0,0.3,281,"https://fbref.com/en/players/1880614f/Cengiz-Under"
"153","2020-2021","Leicester City","Sidnei Tavares","POR","18",0,0,0,0,0.1,85,"https://fbref.com/en/players/3add8ed8/Sidnei-Tavares"
"154","2020-2021","Leicester City","Islam Slimani","ALG","32",0,0,0,0,0.1,20,"https://fbref.com/en/players/ffec9769/Islam-Slimani"
"155","2020-2021","Leicester City","Demarai Gray","ENG","24",0,0,0,0,0.1,19,"https://fbref.com/en/players/4468ec10/Demarai-Gray"
"156","2020-2021","Leicester City","Wes Morgan","JAM","36",0,0,0,0,0,18,"https://fbref.com/en/players/80c31c97/Wes-Morgan"
"157","2020-2021","Leicester City","Khanya Leshabela","RSA","20",0,0,0,0,0,10,"https://fbref.com/en/players/383e68b1/Khanya-Leshabela"
"158","2020-2021","Leicester City","Vontae Daley Campbell","ENG","19",NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/192d4c3d/Vontae-Daley-Campbell"
"159","2020-2021","Leicester City","Shane Flynn","IRL","18",NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/862cc23f/Shane-Flynn"
"160","2020-2021","Leicester City","Tawanda Maswanhise","ZIM","17",NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/4f622ca3/Tawanda-Maswanhise"
"161","2020-2021","Leicester City","Thanawat Suengchitthawon","THA","20",NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/7a6bb9ed/Thanawat-Suengchitthawon"
"162","2020-2021","Leicester City","Danny Ward","WAL","27",NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/d3ce0e89/Danny-Ward"
"163","2020-2021","West Ham United","Tomáš Souček","CZE","25",10,1,10,0,8.4,3419,"https://fbref.com/en/players/6613c819/Tomas-Soucek"
