"","Season","Squad","Player","Nation","Age","Gls","Ast","G_minus_PK","PK","xG_Expected","Min_Playing_Time","PlayerURL"
"164","2020-2021","West Ham United","Aaron Cresswell","ENG","30",0,8,0,0,1,3170,"https://fbref.com/en/players/4f974391/Aaron-Cresswell"
"165","2020-2021","West Ham United","Łukasz Fabiański","POL","35",0,0,0,0,0,3150,"https://fbref.com/en/players/9328b835/Lukasz-Fabianski"
"166","2020-2021","West Ham United","Vladimír Coufal","CZE","27",0,7,0,0,1.3,3054,"https://fbref.com/en/players/fdf3cb77/Vladimir-Coufal"
"167","2020-2021","West Ham United","Declan Rice","ENG","21",2,1,1,1,3.2,2879,"https://fbref.com/en/players/1c7012b8/Declan-Rice"
"168","2020-2021","West Ham United","Pablo Fornals","ESP","24",5,4,5,0,6,2572,"https://fbref.com/en/players/82927de4/Pablo-Fornals"
"169","2020-2021","West Ham United","Jarrod Bowen","ENG","23",8,5,8,0,7.1,2562,"https://fbref.com/en/players/79c84d1c/Jarrod-Bowen"
"170","2020-2021","West Ham United","Angelo Ogbonna","ITA","32",3,0,3,0,1.7,2492,"https://fbref.com/en/players/74b2cd7e/Angelo-Ogbonna"
"171","2020-2021","West Ham United","Michail Antonio","JAM","30",10,5,10,0,12.9,1974,"https://fbref.com/en/players/ac05f970/Michail-Antonio"
"172","2020-2021","West Ham United","Craig Dawson","ENG","30",3,0,3,0,1.9,1925,"https://fbref.com/en/players/3e9e06cb/Craig-Dawson"
"173","2020-2021","West Ham United","Jesse Lingard","ENG","27",9,4,8,1,4.5,1421,"https://fbref.com/en/players/810e3c74/Jesse-Lingard"
"174","2020-2021","West Ham United","Issa Diop","FRA","23",2,0,2,0,0.5,1381,"https://fbref.com/en/players/a712ca2b/Issa-Diop"
"175","2020-2021","West Ham United","Saïd Benrahma","ALG","24",1,6,1,0,2.6,1391,"https://fbref.com/en/players/5a04fd92/Said-Benrahma"
"176","2020-2021","West Ham United","Fabián Balbuena","PAR","28",1,0,1,0,0.7,1198,"https://fbref.com/en/players/3626f7d9/Fabian-Balbuena"
"177","2020-2021","West Ham United","Arthur Masuaku","COD","26",0,2,0,0,0.5,1006,"https://fbref.com/en/players/57df7a11/Arthur-Masuaku"
"178","2020-2021","West Ham United","Sébastien Haller","CIV","26",3,0,3,0,2.9,937,"https://fbref.com/en/players/ba115a40/Sebastien-Haller"
"179","2020-2021","West Ham United","Mark Noble","ENG","33",0,0,0,0,0,712,"https://fbref.com/en/players/ff527768/Mark-Noble"
"180","2020-2021","West Ham United","Ryan Fredericks","ENG","27",1,1,1,0,0.3,569,"https://fbref.com/en/players/c067631c/Ryan-Fredericks"
"181","2020-2021","West Ham United","Manuel Lanzini","ARG","27",1,1,1,0,1,566,"https://fbref.com/en/players/26f6dca8/Manuel-Lanzini"
"182","2020-2021","West Ham United","Ben Johnson","ENG","20",1,0,1,0,0.4,523,"https://fbref.com/en/players/9319781b/Ben-Johnson"
"183","2020-2021","West Ham United","Darren Randolph","IRL","33",0,0,0,0,0,270,"https://fbref.com/en/players/6385ebfb/Darren-Randolph"
"184","2020-2021","West Ham United","Andriy Yarmolenko","UKR","30",0,1,0,0,0.3,375,"https://fbref.com/en/players/849c826a/Andriy-Yarmolenko"
"185","2020-2021","West Ham United","Robert Snodgrass","SCO","32",0,0,0,0,0,5,"https://fbref.com/en/players/9f4647e9/Robert-Snodgrass"
"186","2020-2021","West Ham United","Felipe Anderson","BRA","27",0,0,0,0,0,3,"https://fbref.com/en/players/9f1893b9/Felipe-Anderson"
"187","2020-2021","West Ham United","Jamal Baptiste","ENG","16",NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/41d3704d/Jamal-Baptiste"
"188","2020-2021","West Ham United","Conor Coventry","IRL","20",NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/a5ca9127/Conor-Coventry"
"189","2020-2021","West Ham United","Frederik Ibsen","DEN","20",NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/95827107/Frederik-Ibsen"
"190","2020-2021","West Ham United","David Martin","ENG","34",NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/07666c20/David-Martin"
"191","2020-2021","West Ham United","Mipo Odubeko","IRL","17",NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/dcba03f6/Mipo-Odubeko"
"192","2020-2021","West Ham United","Nathan Trott","ENG","21",NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/7494bea9/Nathan-Trott"
"193","2020-2021","Tottenham Hotspur","Pierre Højbjerg","DEN","24",2,4,2,0,1.1,3420,"https://fbref.com/en/players/8b04d6c1/Pierre-Hojbjerg"
"194","2020-2021","Tottenham Hotspur","Hugo Lloris","FRA","33",0,0,0,0,0,3420,"https://fbref.com/en/players/8f62b6ee/Hugo-Lloris"
"195","2020-2021","Tottenham Hotspur","Son Heung-min","KOR","28",17,10,16,1,9.7,3114,"https://fbref.com/en/players/92e7e919/Son-Heung-min"
"196","2020-2021","Tottenham Hotspur","Harry Kane","ENG","27",23,14,19,4,20.1,3082,"https://fbref.com/en/players/21a66f6a/Harry-Kane"
"197","2020-2021","Tottenham Hotspur","Eric Dier","ENG","26",0,0,0,0,1.2,2520,"https://fbref.com/en/players/ac861941/Eric-Dier"
"198","2020-2021","Tottenham Hotspur","Tanguy Ndombele","FRA","23",3,2,3,0,1.6,2091,"https://fbref.com/en/players/5cdddffa/Tanguy-Ndombele"
"199","2020-2021","Tottenham Hotspur","Sergio Reguilón","ESP","23",0,3,0,0,1,2244,"https://fbref.com/en/players/3353737a/Sergio-Reguilon"
"200","2020-2021","Tottenham Hotspur","Toby Alderweireld","BEL","31",1,0,1,0,0.7,2240,"https://fbref.com/en/players/f7d50789/Toby-Alderweireld"
"201","2020-2021","Tottenham Hotspur","Serge Aurier","CIV","27",2,3,2,0,1.1,1605,"https://fbref.com/en/players/5c2b4f07/Serge-Aurier"
"202","2020-2021","Tottenham Hotspur","Davinson Sánchez","COL","24",0,0,0,0,0.8,1486,"https://fbref.com/en/players/da7b447d/Davinson-Sanchez"
"203","2020-2021","Tottenham Hotspur","Moussa Sissoko","FRA","30",0,0,0,0,0.2,1585,"https://fbref.com/en/players/2acd49b9/Moussa-Sissoko"
"204","2020-2021","Tottenham Hotspur","Lucas Moura","BRA","27",3,4,3,0,1.9,1411,"https://fbref.com/en/players/2b622f01/Lucas-Moura"
"205","2020-2021","Tottenham Hotspur","Ben Davies","WAL","27",0,1,0,0,0.2,1346,"https://fbref.com/en/players/44781702/Ben-Davies"
"206","2020-2021","Tottenham Hotspur","Matt Doherty","IRL","28",0,2,0,0,0.4,1240,"https://fbref.com/en/players/d557d734/Matt-Doherty"
"207","2020-2021","Tottenham Hotspur","Steven Bergwijn","NED","22",1,3,1,0,2,1208,"https://fbref.com/en/players/a29b1131/Steven-Bergwijn"
"208","2020-2021","Tottenham Hotspur","Giovani Lo Celso","ARG","24",1,1,1,0,1.4,945,"https://fbref.com/en/players/d7553721/Giovani-Lo-Celso"
"209","2020-2021","Tottenham Hotspur","Gareth Bale","WAL","31",11,2,11,0,5.8,920,"https://fbref.com/en/players/a58bb1e1/Gareth-Bale"
"210","2020-2021","Tottenham Hotspur","Harry Winks","ENG","24",0,0,0,0,0.1,861,"https://fbref.com/en/players/2f7acede/Harry-Winks"
"211","2020-2021","Tottenham Hotspur","Joe Rodon","WAL","22",0,0,0,0,0,733,"https://fbref.com/en/players/8d62d31a/Joe-Rodon"
"212","2020-2021","Tottenham Hotspur","Dele Alli","ENG","24",0,1,0,0,2,620,"https://fbref.com/en/players/cea4ee8f/Dele-Alli"
"213","2020-2021","Tottenham Hotspur","Japhet Tanganga","ENG","21",0,0,0,0,0.4,487,"https://fbref.com/en/players/e9971f2d/Japhet-Tanganga"
"214","2020-2021","Tottenham Hotspur","Érik Lamela","ARG","28",1,0,1,0,1.1,717,"https://fbref.com/en/players/abe66106/Erik-Lamela"
"215","2020-2021","Tottenham Hotspur","Carlos Vinícius","BRA","25",1,0,1,0,1.2,308,"https://fbref.com/en/players/8b529245/Carlos-Vinicius"
"216","2020-2021","Tottenham Hotspur","Dane Scarlett","ENG","16",0,0,0,0,0,1,"https://fbref.com/en/players/21945a9e/Dane-Scarlett"
"217","2020-2021","Tottenham Hotspur","Alfie Devine","ENG","15",NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/ba08056d/Alfie-Devine"
"218","2020-2021","Tottenham Hotspur","Gedson Fernandes","POR","21",NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/e2dde94c/Gedson-Fernandes"
"219","2020-2021","Tottenham Hotspur","Joe Hart","ENG","33",NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/cb4f24c6/Joe-Hart"
"220","2020-2021","Tottenham Hotspur","Nile John","ENG","17",NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/376d4a41/Nile-John"
"221","2020-2021","Arsenal","Bernd Leno","GER","28",0,0,0,0,0,3131,"https://fbref.com/en/players/2628fd2b/Bernd-Leno"
"222","2020-2021","Arsenal","Bukayo Saka","ENG","18",5,3,5,0,6.9,2553,"https://fbref.com/en/players/bc7dc64d/Bukayo-Saka"
"223","2020-2021","Arsenal","Granit Xhaka","SUI","27",1,2,1,0,0.9,2522,"https://fbref.com/en/players/e61b8aee/Granit-Xhaka"
"224","2020-2021","Arsenal","Rob Holding","ENG","24",0,1,0,0,1,2558,"https://fbref.com/en/players/d79a8c87/Rob-Holding"
"225","2020-2021","Arsenal","Pierre-Emerick Aubameyang","GAB","31",10,3,8,2,10.2,2332,"https://fbref.com/en/players/d5dd5f1f/Pierre-Emerick-Aubameyang"
"226","2020-2021","Arsenal","Kieran Tierney","SCO","23",1,3,1,0,0.5,2299,"https://fbref.com/en/players/fce2302c/Kieran-Tierney"
"227","2020-2021","Arsenal","Héctor Bellerín","ESP","25",1,2,1,0,0.8,2089,"https://fbref.com/en/players/f874dd44/Hector-Bellerin"
"228","2020-2021","Arsenal","Gabriel Dos Santos","BRA","22",2,0,2,0,1.3,1996,"https://fbref.com/en/players/67ac5bb8/Gabriel-Dos-Santos"
"229","2020-2021","Arsenal","Alexandre Lacazette","FRA","29",13,2,10,3,11.7,1923,"https://fbref.com/en/players/9dbb75ca/Alexandre-Lacazette"
"230","2020-2021","Arsenal","Thomas Partey","GHA","27",0,2,0,0,1.3,1534,"https://fbref.com/en/players/529f49ab/Thomas-Partey"
"231","2020-2021","Arsenal","Emile Smith Rowe","ENG","20",2,4,2,0,1.8,1440,"https://fbref.com/en/players/17695062/Emile-Smith-Rowe"
"232","2020-2021","Arsenal","Dani Ceballos","ESP","23",0,3,0,0,0.6,1615,"https://fbref.com/en/players/c0617e2b/Dani-Ceballos"
"233","2020-2021","Arsenal","Mohamed Elneny","EGY","28",1,0,1,0,0.4,1544,"https://fbref.com/en/players/47a34c4f/Mohamed-Elneny"
"234","2020-2021","Arsenal","David Luiz","BRA","33",1,0,1,0,0.9,1396,"https://fbref.com/en/players/c0e27d1a/David-Luiz"
"235","2020-2021","Arsenal","Nicolas Pépé","CIV","25",10,1,9,1,5.8,1616,"https://fbref.com/en/players/57e3f0c7/Nicolas-Pepe"
"236","2020-2021","Arsenal","Willian","BRA","31",1,5,1,0,1.9,1406,"https://fbref.com/en/players/8b9ebd03/Willian"
"237","2020-2021","Arsenal","Pablo Marí","ESP","26",0,0,0,0,0.1,900,"https://fbref.com/en/players/aa54ec6f/Pablo-Mari"
"238","2020-2021","Arsenal","Martin Ødegaard","NOR","21",1,2,1,0,0.7,866,"https://fbref.com/en/players/79300479/Martin-Odegaard"
"239","2020-2021","Arsenal","Calum Chambers","ENG","25",0,2,0,0,0.4,753,"https://fbref.com/en/players/dc6f5bdd/Calum-Chambers"
"240","2020-2021","Arsenal","Cédric Soares","POR","28",0,1,0,0,0.3,746,"https://fbref.com/en/players/839c14e1/Cedric-Soares"
"241","2020-2021","Arsenal","Martinelli","BRA","19",2,1,2,0,3.3,589,"https://fbref.com/en/players/48a5a5d6/Martinelli"
"242","2020-2021","Arsenal","Ainsley Maitland-Niles","ENG","22",0,0,0,0,0.1,490,"https://fbref.com/en/players/e3a5814e/Ainsley-Maitland-Niles"
"243","2020-2021","Arsenal","Eddie Nketiah","ENG","21",2,1,2,0,1.8,423,"https://fbref.com/en/players/a53649b7/Eddie-Nketiah"
"244","2020-2021","Arsenal","Mathew Ryan","AUS","28",0,0,0,0,0,270,"https://fbref.com/en/players/4535e4bb/Mathew-Ryan"
"245","2020-2021","Arsenal","Joe Willock","ENG","20",0,0,0,0,0.3,238,"https://fbref.com/en/players/a3b03921/Joe-Willock"
"246","2020-2021","Arsenal","Sead Kolašinac","BIH","27",0,0,0,0,0,90,"https://fbref.com/en/players/3935e52e/Sead-Kolasinac"
"247","2020-2021","Arsenal","Reiss Nelson","ENG","20",0,0,0,0,0.1,71,"https://fbref.com/en/players/c5bdb6e3/Reiss-Nelson"
"248","2020-2021","Arsenal","Shkodran Mustafi","GER","28",0,0,0,0,0,47,"https://fbref.com/en/players/3f2d59fe/Shkodran-Mustafi"
"249","2020-2021","Arsenal","Rúnar Alex Rúnarsson","ISL","25",0,0,0,0,0,16,"https://fbref.com/en/players/8fa8f8d2/Runar-Alex-Runarsson"
"250","2020-2021","Arsenal","Miguel Azeez","ENG","17",NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/660e71be/Miguel-Azeez"
"251","2020-2021","Arsenal","Matt Macey","ENG","25",NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/136e7649/Matt-Macey"
"252","2020-2021","Leeds United","Stuart Dallas","NIR","29",8,2,8,0,4.2,3409,"https://fbref.com/en/players/67ca8566/Stuart-Dallas"
"253","2020-2021","Leeds United","Luke Ayling","ENG","28",0,0,0,0,1.7,3399,"https://fbref.com/en/players/420d7c7d/Luke-Ayling"
"254","2020-2021","Leeds United","Patrick Bamford","ENG","26",17,7,15,2,18.2,3050,"https://fbref.com/en/players/93feac6e/Patrick-Bamford"
"255","2020-2021","Leeds United","Illan Meslier","FRA","20",0,0,0,0,0,3150,"https://fbref.com/en/players/6b625ac2/Illan-Meslier"
"256","2020-2021","Leeds United","Jack Harrison","ENG","23",8,8,8,0,5.8,2847,"https://fbref.com/en/players/aa849a12/Jack-Harrison"
"257","2020-2021","Leeds United","Ezgjan Alioski","MKD","28",2,3,2,0,1.6,2461,"https://fbref.com/en/players/1a7fcf39/Ezgjan-Alioski"
"258","2020-2021","Leeds United","Kalvin Phillips","ENG","24",1,2,1,0,0.5,2428,"https://fbref.com/en/players/4f565d77/Kalvin-Phillips"
"259","2020-2021","Leeds United","Mateusz Klich","POL","30",4,5,2,2,3,2393,"https://fbref.com/en/players/282679b4/Mateusz-Klich"
"260","2020-2021","Leeds United","Raphinha","BRA","23",6,9,6,0,5.7,2360,"https://fbref.com/en/players/3423f250/Raphinha"
"261","2020-2021","Leeds United","Liam Cooper","SCO","28",1,0,1,0,1.8,2185,"https://fbref.com/en/players/dc64b8b3/Liam-Cooper"
"262","2020-2021","Leeds United","Pascal Struijk","NED","20",1,0,1,0,1.7,2075,"https://fbref.com/en/players/f4d296e4/Pascal-Struijk"
"263","2020-2021","Leeds United","Tyler Roberts","WAL","21",1,2,1,0,1.8,1340,"https://fbref.com/en/players/6c17e046/Tyler-Roberts"
"264","2020-2021","Leeds United","Rodrigo","ESP","29",7,2,7,0,5.1,1288,"https://fbref.com/en/players/1fb1c435/Rodrigo"
"265","2020-2021","Leeds United","Diego Llorente","ESP","26",1,0,1,0,0.8,1204,"https://fbref.com/en/players/bba30585/Diego-Llorente"
"266","2020-2021","Leeds United","Hélder Costa","ANG","26",3,3,3,0,2.2,1156,"https://fbref.com/en/players/f13d02a6/Helder-Costa"
"267","2020-2021","Leeds United","Robin Koch","GER","24",0,0,0,0,0.7,1132,"https://fbref.com/en/players/ea6bc03a/Robin-Koch"
"268","2020-2021","Leeds United","Jamie Shackleton","ENG","20",0,0,0,0,0,461,"https://fbref.com/en/players/8d03ca5a/Jamie-Shackleton"
"269","2020-2021","Leeds United","Pablo Hernández","ESP","35",0,2,0,0,1.1,427,"https://fbref.com/en/players/c0398aca/Pablo-Hernandez"
"270","2020-2021","Leeds United","Kiko Casilla","ESP","33",0,0,0,0,0,270,"https://fbref.com/en/players/58bc7d18/Kiko-Casilla"
"271","2020-2021","Leeds United","Gaetano Berardi","SUI","31",0,0,0,0,0.1,113,"https://fbref.com/en/players/5348aada/Gaetano-Berardi"
"272","2020-2021","Leeds United","Ian Carlo Poveda","ENG","20",0,0,0,0,0.3,355,"https://fbref.com/en/players/55b4f1d6/Ian-Carlo-Poveda"
"273","2020-2021","Leeds United","Niall Huggins","WAL","19",0,0,0,0,0,38,"https://fbref.com/en/players/6d646ff7/Niall-Huggins"
"274","2020-2021","Leeds United","Leif Davis","ENG","20",0,0,0,0,0,33,"https://fbref.com/en/players/8574c61f/Leif-Davis"
"275","2020-2021","Leeds United","Mateusz Bogusz","POL","18",NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/a2c1d8c2/Mateusz-Bogusz"
"276","2020-2021","Leeds United","Elia Caprile","ITA","18",NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/97d7afbd/Elia-Caprile"
"277","2020-2021","Leeds United","Oliver Casey","ENG","19",NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/2d82641c/Oliver-Casey"
"278","2020-2021","Leeds United","Charlie Cresswell","ENG","17",NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/4654e5f5/Charlie-Cresswell"
"279","2020-2021","Leeds United","Cody Drameh","ENG","18",NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/e0d1510a/Cody-Drameh"
"280","2020-2021","Leeds United","Joe Gelhardt","ENG","18",NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/01962d0d/Joe-Gelhardt"
"281","2020-2021","Leeds United","Sam Greenwood","ENG","18",NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/f3354c07/Sam-Greenwood"
"282","2020-2021","Leeds United","Jack Jenkins","ENG","18",NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/3d46127c/Jack-Jenkins"
"283","2020-2021","Leeds United","Crysencio Summerville","NED","18",NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/df04eb4b/Crysencio-Summerville"
"284","2020-2021","Everton","Michael Keane","ENG","27",3,1,3,0,1.5,2991,"https://fbref.com/en/players/c5b7c315/Michael-Keane"
"285","2020-2021","Everton","Richarlison","BRA","23",7,3,6,1,9.7,2861,"https://fbref.com/en/players/fa031b34/Richarlison"
"286","2020-2021","Everton","Dominic Calvert-Lewin","ENG","23",16,0,16,0,16.3,2871,"https://fbref.com/en/players/59e6e5bf/Dominic-Calvert-Lewin"
"287","2020-2021","Everton","Jordan Pickford","ENG","26",0,0,0,0,0,2742,"https://fbref.com/en/players/4806ec67/Jordan-Pickford"
"288","2020-2021","Everton","Lucas Digne","FRA","27",0,7,0,0,0.5,2681,"https://fbref.com/en/players/1b84dbe1/Lucas-Digne"
"289","2020-2021","Everton","Ben Godfrey","ENG","22",0,2,0,0,1,2685,"https://fbref.com/en/players/9f7c837d/Ben-Godfrey"
"290","2020-2021","Everton","Abdoulaye Doucouré","MLI","27",2,3,2,0,2.3,2443,"https://fbref.com/en/players/02b29014/Abdoulaye-Doucoure"
"291","2020-2021","Everton","Mason Holgate","ENG","23",1,0,1,0,1,2287,"https://fbref.com/en/players/d0042ab9/Mason-Holgate"
"292","2020-2021","Everton","Gylfi Sigurðsson","ISL","30",6,5,3,3,6.5,2253,"https://fbref.com/en/players/76dd1480/Gylfi-Sigurdsson"
"293","2020-2021","Everton","Allan","BRA","29",0,0,0,0,0.3,2051,"https://fbref.com/en/players/cc700722/Allan"
"294","2020-2021","Everton","Yerry Mina","COL","25",2,0,2,0,1.6,1937,"https://fbref.com/en/players/6d5701f2/Yerry-Mina"
"295","2020-2021","Everton","James Rodríguez","COL","29",6,4,6,0,2.8,1764,"https://fbref.com/en/players/715bf047/James-Rodriguez"
"296","2020-2021","Everton","Séamus Coleman","IRL","31",0,3,0,0,0.9,1613,"https://fbref.com/en/players/0420d84f/Seamus-Coleman"
"297","2020-2021","Everton","André Gomes","POR","27",0,1,0,0,0.5,1570,"https://fbref.com/en/players/1961b2aa/Andre-Gomes"
"298","2020-2021","Everton","Alex Iwobi","NGA","24",1,2,1,0,0.9,1542,"https://fbref.com/en/players/6ca5ec4b/Alex-Iwobi"
"299","2020-2021","Everton","Tom Davies","ENG","22",0,1,0,0,0.2,1423,"https://fbref.com/en/players/9228b07c/Tom-Davies"
"300","2020-2021","Everton","Robin Olsen","SWE","30",0,0,0,0,0,630,"https://fbref.com/en/players/e7ee38c3/Robin-Olsen"
"301","2020-2021","Everton","Bernard","BRA","27",1,0,1,0,0.3,455,"https://fbref.com/en/players/ab4b3e35/Bernard"
"302","2020-2021","Everton","Fabian Delph","ENG","30",0,0,0,0,0,266,"https://fbref.com/en/players/111c3236/Fabian-Delph"
"303","2020-2021","Everton","Anthony Gordon","ENG","19",0,0,0,0,0,88,"https://fbref.com/en/players/2bd83368/Anthony-Gordon"
"304","2020-2021","Everton","Niels Nkounkou","FRA","19",0,0,0,0,0,81,"https://fbref.com/en/players/f5b281e7/Niels-Nkounkou"
"305","2020-2021","Everton","Jonjoe Kenny","ENG","23",0,0,0,0,0,79,"https://fbref.com/en/players/099e666f/Jonjoe-Kenny"
"306","2020-2021","Everton","Joshua King","NOR","28",0,0,0,0,0.6,148,"https://fbref.com/en/players/43458538/Joshua-King"
"307","2020-2021","Everton","Cenk Tosun","TUR","29",0,0,0,0,0,48,"https://fbref.com/en/players/9a104dee/Cenk-Tosun"
"308","2020-2021","Everton","João Virgínia","POR","20",0,0,0,0,0,48,"https://fbref.com/en/players/728e9b2e/Joao-Virginia"
"309","2020-2021","Everton","Moise Kean","ITA","20",0,0,0,0,0,15,"https://fbref.com/en/players/3d50bcdb/Moise-Kean"
"310","2020-2021","Everton","Theo Walcott","ENG","31",0,0,0,0,0,13,"https://fbref.com/en/players/1ecb65be/Theo-Walcott"
"311","2020-2021","Everton","Jean-Philippe Gbamin","CIV","24",0,0,0,0,0,12,"https://fbref.com/en/players/6bd603db/Jean-Philippe-Gbamin"
"312","2020-2021","Everton","Nathan Broadhead","WAL","22",0,0,0,0,0,3,"https://fbref.com/en/players/43309491/Nathan-Broadhead"
"313","2020-2021","Everton","Kyle Alex John","ENG","19",NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/c9093a1a/Kyle-Alex-John"
"314","2020-2021","Everton","Ryan Astley","WAL","18",NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/0eb884e1/Ryan-Astley"
"315","2020-2021","Everton","Jarrad Branthwaite","ENG","18",NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/c1949191/Jarrad-Branthwaite"
"316","2020-2021","Everton","Jonas Lössl","DEN","31",NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/939bc634/Jonas-Lossl"
"317","2020-2021","Everton","Tyler Onyango","ENG","17",NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/d86a1f3e/Tyler-Onyango"
"318","2020-2021","Everton","Isaac Price","NIR","16",NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/b9403c99/Isaac-Price"
"319","2020-2021","Everton","Ellis Simms","ENG","19",NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/26d3b5be/Ellis-Simms"
"320","2020-2021","Everton","Harry Tyrer","ENG","18",NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/af49fb14/Harry-Tyrer"
"321","2020-2021","Everton","Reece Welch","ENG","16",NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/a182122b/Reece-Welch"
"322","2020-2021","Aston Villa","Emiliano Martínez","ARG","27",0,0,0,0,0,3420,"https://fbref.com/en/players/7956236f/Emiliano-Martinez"
"323","2020-2021","Aston Villa","Matt Targett","ENG","24",0,2,0,0,0.3,3404,"https://fbref.com/en/players/e514ab62/Matt-Targett"
"324","2020-2021","Aston Villa","John McGinn","SCO","25",3,5,3,0,2.5,3330,"https://fbref.com/en/players/90f91999/John-McGinn"
"325","2020-2021","Aston Villa","Ollie Watkins","ENG","24",14,5,13,1,14.5,3328,"https://fbref.com/en/players/aed3a70f/Ollie-Watkins"
"326","2020-2021","Aston Villa","Tyrone Mings","ENG","27",2,2,2,0,1.9,3194,"https://fbref.com/en/players/8397a50c/Tyrone-Mings"
"327","2020-2021","Aston Villa","Ezri Konsa","ENG","22",2,0,2,0,2.4,3196,"https://fbref.com/en/players/0313a347/Ezri-Konsa"
"328","2020-2021","Aston Villa","Douglas Luiz","BRA","22",0,2,0,0,1.2,2781,"https://fbref.com/en/players/6f7d826d/Douglas-Luiz"
"329","2020-2021","Aston Villa","Bertrand Traoré","BFA","24",7,6,7,0,6.6,2317,"https://fbref.com/en/players/c47541e0/Bertrand-Traore"
